,0,1,2,3,4
fit_time,3.494053363800049,3.380444049835205,3.615316390991211,4.066036939620972,3.619899034500122
score_time,0.014787673950195312,0.015130996704101562,0.014801502227783203,0.017699003219604492,0.017580032348632812
test_acc,0.9903846153846154,0.9903846153846154,1.0,0.9611650485436893,0.9902912621359223
test_roc,0.9946236559139785,0.9945652173913043,1.0,0.8181818181818181,0.9945652173913043
test_recall0,1.0,1.0,1.0,0.6363636363636364,1.0
test_recall1,0.989247311827957,0.9891304347826086,1.0,1.0,0.9891304347826086
test_precision0,0.9166666666666666,0.9230769230769231,1.0,1.0,0.9166666666666666
test_precision1,1.0,1.0,1.0,0.9583333333333334,1.0
test_f0,0.9565217391304348,0.96,1.0,0.7777777777777778,0.9565217391304348
test_f1,0.9945945945945946,0.994535519125683,1.0,0.9787234042553191,0.994535519125683
