,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
fit_time,0.9031314849853516,0.8272812366485596,0.8741748332977295,0.8944339752197266,0.8851335048675537,0.6708645820617676,0.6631710529327393,0.8506655693054199,0.6634809970855713,0.6845405101776123,0.708920955657959,0.6514365673065186,0.7234923839569092,0.6924910545349121,0.6885762214660645,0.693988561630249,0.6812398433685303,0.6805479526519775,0.730017900466919,0.7103040218353271,0.8832724094390869,0.843740701675415,0.845848798751831,0.8276970386505127,0.6570391654968262
score_time,0.01893305778503418,0.018923282623291016,0.02079606056213379,0.02078866958618164,0.022785186767578125,0.01432490348815918,0.018550634384155273,0.014414072036743164,0.016060829162597656,0.014354228973388672,0.014758825302124023,0.01450657844543457,0.012003660202026367,0.012820243835449219,0.012007474899291992,0.011946678161621094,0.011658906936645508,0.012436628341674805,0.012224912643432617,0.012307405471801758,0.011236906051635742,0.012515068054199219,0.011260032653808594,0.010987043380737305,0.010625123977661133
test_acc,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457
test_roc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
test_recall0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_recall1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_precision0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_precision1,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457
test_f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_f1,0.9441624365482234,0.9387755102040816,0.9435897435897436,0.9435897435897436,0.9435897435897436,0.9441624365482234,0.9387755102040816,0.9435897435897436,0.9435897435897436,0.9435897435897436,0.9441624365482234,0.9387755102040816,0.9435897435897436,0.9435897435897436,0.9435897435897436,0.9441624365482234,0.9387755102040816,0.9435897435897436,0.9435897435897436,0.9435897435897436,0.9441624365482234,0.9387755102040816,0.9435897435897436,0.9435897435897436,0.9435897435897436
