,0,1,2,3,4
fit_time,0.014087677001953125,0.011815071105957031,0.011592626571655273,0.011781692504882812,0.011858224868774414
score_time,0.008881092071533203,0.008323192596435547,0.008785486221313477,0.00861978530883789,0.008623600006103516
test_acc,0.8494623655913979,0.8152173913043478,0.8478260869565217,0.782608695652174,0.7608695652173914
test_roc,0.869047619047619,0.7736111111111111,0.8125,0.788888888888889,0.7780013413816231
test_recall0,0.8333333333333334,0.8472222222222222,0.875,0.7777777777777778,0.7464788732394366
test_recall1,0.9047619047619048,0.7,0.75,0.8,0.8095238095238095
test_precision0,0.967741935483871,0.9104477611940298,0.9264705882352942,0.9333333333333333,0.9298245614035088
test_precision1,0.6129032258064516,0.56,0.625,0.5,0.4857142857142857
test_f0,0.8955223880597015,0.8776978417266187,0.9,0.8484848484848485,0.828125
test_f1,0.7307692307692307,0.6222222222222222,0.6818181818181818,0.6153846153846154,0.6071428571428571
